"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2015-02-04,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-02-04,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2015-02-04,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2015-02-04,4,235,,3,,"235 lb || 3 reps","104"
"Barbell Squat",2015-02-04,5,265,,3,,"265 lb || 3 reps","127"
"Barbell Squat",2015-02-04,6,300,,5,,"300 lb || 5 reps","200"
"Barbell Squat",2015-02-04,7,165,,10,,"165 lb || 10 reps","95"
"Barbell Squat",2015-02-04,8,165,,10,,"165 lb || 10 reps","95"
"Barbell Squat",2015-02-04,9,165,,10,,"165 lb || 10 reps","95"
"Barbell Squat",2015-02-04,10,165,,10,,"165 lb || 10 reps","95"
"Barbell Squat",2015-02-04,11,165,,10,,"165 lb || 10 reps","95"
"Barbell Squat",2015-02-13,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-02-13,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2015-02-13,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2015-02-13,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2015-02-13,5,250,,5,,"250 lb || 5 reps","143"
"Barbell Squat",2015-02-13,6,285,,3,,"285 lb || 3 reps","145"
"Barbell Squat",2015-02-13,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2015-02-13,8,165,,10,,"165 lb || 10 reps","95"
"Barbell Squat",2015-02-13,9,165,,10,,"165 lb || 10 reps","95"
"Barbell Squat",2015-02-13,10,165,,10,,"165 lb || 10 reps","95"
"Barbell Squat",2015-02-13,11,165,,10,,"165 lb || 10 reps","95"
"Barbell Squat",2015-02-13,12,165,,10,,"165 lb || 10 reps","95"
