"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2013-03-13,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-13,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-13,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-13,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-03-13,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2013-03-13,6,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-13,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-13,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-15,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-15,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-15,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-15,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-03-15,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2013-03-15,6,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-15,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-15,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-21,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-21,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-21,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-21,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-03-21,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-03-21,6,315,,5,,"315 lb || 5 reps","222"
